Dataset,Sample_Index,Observed,Predicted,Residual,Standardized_Residual,Residual_Outlier_absSR_gt_3
Train_OOF,1,4.18,4.145867334,0.034132665999999645,0.06959156737575936,False
Train_OOF,2,5.096910013,4.896364790000001,0.20054522299999888,0.40888269314477965,False
Train_OOF,3,5.372634143,5.802880503,-0.43024635999999994,-0.8772100764152301,False
Train_OOF,4,4.995678626,5.88432382,-0.8886451939999995,-1.8118189739821777,False
Train_OOF,5,4.397940009,4.763504503333333,-0.3655644943333334,-0.7453331110316386,False
Train_OOF,6,3.0,3.5400000000000005,-0.5400000000000005,-1.100981868304998,False
Train_OOF,7,5.698970004,4.788050727333333,0.9109192766666672,1.8572326057398214,False
Train_OOF,8,4.698970004,5.351495700666667,-0.6525256966666664,-1.3304054826538632,False
Train_OOF,9,3.53,3.4766666666666666,0.05333333333333323,0.10873894995604888,False
Train_OOF,10,3.71,3.794775668666667,-0.08477566866666697,-0.17284532236191183,False
Train_OOF,11,5.853871964,4.757624680666667,1.0962472833333328,2.235089596534463,False
Train_OOF,12,4.958607315,4.819777577666667,0.13882973733333337,0.28305374738063954,False
Train_OOF,13,4.173925197,3.8962120786666667,0.27771311833333323,0.5662168664359999,False
Train_OOF,14,2.71,3.9607046723333332,-1.2507046723333333,-2.550005864524708,False
Train_OOF,15,5.0,4.7881720843333335,0.21182791566666648,0.4318864710182218,False
Train_OOF,16,4.890084137,4.640130635666666,0.2499535013333336,0.5096190238654614,False
Train_OOF,17,6.036212173,5.997836665666667,0.03837550733333295,0.07824210696482412,False
Train_OOF,18,4.48148606,3.569313336333334,0.9121727236666661,1.8597882028136736,False
Train_OOF,19,3.931814138,4.094362263666667,-0.16254812566666654,-0.33141210941844806,False
Train_OOF,20,4.91721463,5.134355165333333,-0.21714053533333288,-0.4427181338445186,False
Train_OOF,21,4.924453039,4.327099833666666,0.5973532053333344,1.2179167556405055,False
Train_OOF,22,5.638272164,5.232851911333333,0.4054202526666666,0.8265932356104269,False
Train_OOF,23,3.935542011,4.068736438999999,-0.13319442799999948,-0.27156416701343483,False
Train_OOF,24,4.931814138,4.717160438,0.2146537000000004,0.4376478364158903,False
Train_OOF,25,6.026872146,5.287100468666666,0.7397716773333336,1.508287413758472,False
Train_OOF,26,4.721246399,4.603754984666666,0.1174914143333341,0.23954799418983458,False
Train_OOF,27,4.236572006,4.244260441333333,-0.007688435333332855,-0.015675607217842516,False
Train_OOF,28,2.3,3.717172350333333,-1.4171723503333333,-2.8894093740373648,False
Train_OOF,29,5.045757491,5.467434938,-0.4216774470000004,-0.8597393026298922,False
Train_OOF,30,5.568636236,5.6208671919999995,-0.05223095599999983,-0.10649136207451093,False
Train_OOF,31,3.0,3.1033333333333335,-0.1033333333333335,-0.21068171553984544,False
Train_OOF,32,3.41,3.785175309333333,-0.37517530933333276,-0.764928172243922,False
Train_OOF,33,5.15490196,4.604989359666667,0.5499126003333332,1.1211922261471339,False
Train_OOF,34,4.27572413,4.200493873666667,0.07523025633333358,0.1533836077239582,False
Train_OOF,35,4.537602002,4.810756012333333,-0.2731540103333332,-0.5569215048736956,False
Train_OOF,36,5.744727495,5.234444936666667,0.5102825583333335,1.0403923045134946,False
Train_OOF,37,5.22184875,4.692027592333333,0.5298211576666674,1.08022868154697,False
Train_OOF,38,6.244125144,5.802880503,0.44124464099999994,0.8996339800513844,False
Train_OOF,39,5.605548319,5.88432382,-0.27877550099999926,-0.5683829109789643,False
Train_OOF,40,4.91721463,5.351495700666667,-0.43428107066666666,-0.8854362676890389,False
Train_OOF,41,5.886056648,5.280545836,0.6055108120000003,1.2345489353234003,False
Train_OOF,42,3.903089987,4.235656843,-0.33256685600000013,-0.6780557008429612,False
Train_OOF,43,6.026872146,5.504241004,0.5226311419999998,1.0655692799139518,False
Train_OOF,44,4.167491087,3.7985747100000005,0.3689163769999997,0.7521671148106857,False
Train_OOF,45,3.15,3.3266666666666667,-0.17666666666666675,-0.36019777172941275,False
Train_OOF,46,3.86,4.2628787453333326,-0.4028787453333327,-0.8214114698841957,False
Train_OOF,47,4.443697499,4.634039418333333,-0.1903419193333331,-0.38807963326735573,False
Train_OOF,48,4.522878745,4.354172018666667,0.16870672633333328,0.3439686051001724,False
Train_OOF,49,4.04,4.105241376666666,-0.06524137666666618,-0.13301772735788178,False
Train_OOF,50,4.661543506,4.623655949,0.03788755700000035,0.0772472468358749,False
Train_OOF,51,4.036212173,4.440039352666666,-0.40382717966666615,-0.8233451902624884,False
Train_OOF,52,4.28,4.440493873333334,-0.16049387333333343,-0.3272237861371092,False
Train_OOF,53,2.4,3.420044051,-1.0200440510000002,-2.0797222315247734,False
Train_OOF,54,3.871600731,3.6833333333333336,0.18826739766666645,0.38384998374808565,False
Train_OOF,55,4.795880017,4.712067153666666,0.08381286333333371,0.17088230159393542,False
Train_OOF,56,4.387216143,4.302069772333334,0.0851463706666662,0.17360113010365913,False
Train_OOF,57,4.568636236,4.592393172666666,-0.02375693666666656,-0.04843695651198155,False
Train_OOF,58,2.4,3.0866666666666664,-0.6866666666666665,-1.4000139806841316,False
Train_OOF,59,4.387216143,4.459113503,-0.07189736000000035,-0.14658831433147657,False
Train_OOF,60,4.031517051,4.459113503,-0.4275964520000004,-0.8718072974139784,False
Train_OOF,61,4.958607315,4.440493873333334,0.5181134416666664,1.0563583425927747,False
Train_OOF,62,2.8,3.3433333333333337,-0.5433333333333339,-1.1077780526772512,False
Train_OOF,63,4.301029996,4.182877332666666,0.11815266333333341,0.24089618522582357,False
Train_OOF,64,4.259637311,4.640130635666666,-0.3804933246666664,-0.7757708360538632,False
Train_OOF,65,3.47,3.6713083989999995,-0.2013083989999993,-0.4104386985861241,False
Train_OOF,66,4.91721463,5.351495700666667,-0.43428107066666666,-0.8854362676890389,False
Train_OOF,67,5.0,4.8195734576666664,0.18042654233333355,0.3678636142036374,False
Train_OOF,68,3.0,3.1033333333333335,-0.1033333333333335,-0.21068171553984544,False
Train_OOF,69,6.37675071,5.7284651743333335,0.6482855356666661,1.3217604078766514,False
Train_OOF,70,4.48148606,4.712067153666666,-0.23058109366666635,-0.4701214875943256,False
Train_OOF,71,5.554395797,5.099687299,0.4547084979999996,0.9270848364114787,False
Train_OOF,72,6.32,5.174838256666667,1.1451617433333334,2.3348191031232237,False
Train_OOF,73,5.226945307,5.129608352333333,0.09733695466666692,0.1984559670444921,False
Train_OOF,74,3.798602876,4.235656843,-0.4370539670000002,-0.8910898021069827,False
Train_OOF,75,3.0,3.34,-0.33999999999999986,-0.6932108059698125,False
Train_OOF,76,4.031517051,4.459113503,-0.4275964520000004,-0.8718072974139784,False
Train_OOF,77,3.840132153,4.143917109333334,-0.3037849563333337,-0.6193735718274549,False
Train_OOF,78,3.93,3.9924466886666665,-0.06244668866666636,-0.1273197628846052,False
Train_OOF,79,5.568636236,5.134355165333333,0.43428107066666666,0.8854362676890389,False
Train_OOF,80,4.301029996,4.561273300333333,-0.26024330433333365,-0.5305984433681104,False
Train_OOF,81,4.124938737,4.046212078666667,0.07872665833333325,0.16051226551341186,False
Train_OOF,82,5.698970004,5.015252497,0.6837175070000008,1.3940010708327697,False
Train_OOF,83,3.31,3.3733333333333335,-0.06333333333333346,-0.12912750307280854,False
Train_OOF,84,4.522878745,4.359534291666667,0.16334445333333303,0.3330357063114655,False
Train_OOF,85,2.4,3.5719080433333334,-1.1719080433333335,-2.389350938945902,False
Test,86,4.0,4.668121601666667,-0.6681216016666669,-1.3622032764035072,False
Test,87,5.844663963,5.997836665666665,-0.15317270266666494,-0.3122969784356862,False
Test,88,6.080921908,5.88432382,0.196598088,0.40083505598413,False
Test,89,3.0,2.9833773843333327,0.01662261566666734,0.033891108245932076,False
Test,90,4.14,4.026666666666666,0.11333333333333329,0.23107026865660418,False
Test,91,4.22184875,4.260686664,-0.03883791399999925,-0.07918488725331106,False
Test,92,5.0,4.840959581666667,0.15904041833333338,0.32426040169007714,False
Test,93,4.677780705,4.724663340666667,-0.04688263566666695,-0.09558691075435086,False
Test,94,3.06,2.6,0.45999999999999996,0.9378734433709233,False
Test,95,5.782516056,5.232851911333333,0.549664144666667,1.1206856609914355,False
Test,96,3.987162775,4.724663340666667,-0.7375005656666671,-1.50365694567348,False
Test,97,4.619788758,4.323721503333333,0.29606725466666717,0.6036382947904417,False
Test,98,7.22184875,5.997836665666665,1.224012084333335,2.4955835396985346,False
Test,99,3.987162775,4.557533397666667,-0.5703706226666672,-1.1629031736478364,False
Test,100,5.57,5.351495700666667,0.21850429933333348,0.4454986513197922,False
Test,101,2.3,3.1466666666666665,-0.8466666666666667,-1.726230830552279,False
