Dataset,Sample_Index,Observed,Predicted,Residual,Standardized_Residual,Residual_Outlier_absSR_gt_3
Train_OOF,1,4.18,4.126006775247311,0.05399322475268864,0.0807052982477695,False
Train_OOF,2,5.096910013,4.959804371590519,0.13710564140948023,0.20493592912975322,False
Train_OOF,3,5.372634143,5.244862512616252,0.12777163038374795,0.19098410189346315,False
Train_OOF,4,4.995678626,5.504779825684213,-0.5091011996842125,-0.7609688872447955,False
Train_OOF,5,4.397940009,5.08103284296134,-0.6830928339613402,-1.021039420191676,False
Train_OOF,6,3.0,4.089301220942892,-1.0893012209428923,-1.6282113231897286,False
Train_OOF,7,5.698970004,4.79888757909271,0.9000824249072901,1.3453802932209784,False
Train_OOF,8,4.698970004,5.653800822171169,-0.9548308181711684,-1.4272143645731892,False
Train_OOF,9,3.53,3.1978734738096914,0.33212652619030836,0.4964395157903532,False
Train_OOF,10,3.71,2.914286764303209,0.7957132356967911,1.1893765245686576,False
Train_OOF,11,5.853871964,4.8877774513877315,0.9660945126122682,1.4440505476943952,False
Train_OOF,12,4.958607315,5.247595035173388,-0.28898772017338814,-0.4319586439477272,False
Train_OOF,13,4.173925197,3.754010527994634,0.4199146690053661,0.6276590953016551,False
Train_OOF,14,2.71,3.762461080507937,-1.0524610805079369,-1.5731452563839163,False
Train_OOF,15,5.0,5.651051559525062,-0.6510515595250617,-0.9731463628411844,False
Train_OOF,16,4.890084137,4.397457221203029,0.49262691579697027,0.7363442792383603,False
Train_OOF,17,6.036212173,5.208028609696461,0.828183563303539,1.23791090060766,False
Train_OOF,18,4.48148606,3.978602052726042,0.5028840072739578,0.7516758626101001,False
Train_OOF,19,3.931814138,4.4996247552306485,-0.5678106172306485,-0.848723620819993,False
Train_OOF,20,4.91721463,5.188193058090584,-0.2709784280905838,-0.40503961298724467,False
Train_OOF,21,4.924453039,5.29073978176469,-0.3662867427646894,-0.5474998197353688,False
Train_OOF,22,5.638272164,5.216679543941911,0.42159262005808884,0.6301671792469171,False
Train_OOF,23,3.935542011,3.7406509667594854,0.1948910442405145,0.2913095100967596,False
Train_OOF,24,4.931814138,3.8300718438027546,1.1017422941972455,1.646807369862509,False
Train_OOF,25,6.026872146,5.534417079482583,0.492455066517417,0.7360874109475046,False
Train_OOF,26,4.721246399,4.9945765514314955,-0.2733301524314955,-0.4085548061471117,False
Train_OOF,27,4.236572006,4.285138895497999,-0.04856688949799892,-0.07259439160850059,False
Train_OOF,28,2.3,3.976350539406429,-1.676350539406429,-2.5056916098323656,False
