Dataset,Sample_Index,Observed,Predicted,Residual,Standardized_Residual,Residual_Outlier_absSR_gt_3
Train_OOF,1,4.18,4.170133590698242,0.009866409301757528,0.024387869841695477,False
Train_OOF,2,5.096910013,5.314088821411133,-0.21717880841113324,-0.5368243248292722,False
Train_OOF,3,5.372634143,5.588521957397461,-0.21588781439746096,-0.5336332354462037,False
Train_OOF,4,4.995678626,5.129916667938232,-0.1342380419382323,-0.33181067138685416,False
Train_OOF,5,4.397940009,4.742964744567871,-0.34502473556787105,-0.8528349155042411,False
Train_OOF,6,3.0,3.5712504386901855,-0.5712504386901855,-1.4120214274210192,False
Train_OOF,7,5.698970004,5.4505510330200195,0.2484189709799809,0.6140440098495104,False
Train_OOF,8,4.698970004,5.539650917053223,-0.8406809130532222,-2.078001840273092,False
Train_OOF,9,3.53,3.498155117034912,0.031844882965087695,0.07871443775784179,False
Train_OOF,10,3.71,3.843710422515869,-0.13371042251586918,-0.3305064974564,False
Train_OOF,11,5.853871964,5.123215675354004,0.7306562886459957,1.8060420890242872,False
Train_OOF,12,4.958607315,4.63193941116333,0.32666790383667,0.8074603512352836,False
Train_OOF,13,4.173925197,3.923814058303833,0.25011113869616697,0.6182267236160387,False
Train_OOF,14,2.71,3.2039198875427246,-0.49391988754272464,-1.220875149328248,False
Train_OOF,15,5.0,4.863559246063232,0.13644075393676758,0.3372553526154598,False
Train_OOF,16,4.890084137,4.709122657775879,0.18096147922412076,0.4473020393439781,False
Train_OOF,17,6.036212173,5.7213029861450195,0.3149091868549805,0.7783950600554725,False
Train_OOF,18,4.48148606,4.482673168182373,-0.0011871081823731089,-0.00293430354998246,False
Train_OOF,19,3.931814138,4.029814720153809,-0.09800058215380858,-0.24223862692902137,False
Train_OOF,20,4.91721463,4.879215240478516,0.03799938952148452,0.09392719654847197,False
Train_OOF,21,4.924453039,5.056321144104004,-0.1318681051040036,-0.3259526424648314,False
Train_OOF,22,5.638272164,5.1945390701293945,0.44373309387060544,1.0968230292089616,False
Train_OOF,23,3.935542011,4.185524940490723,-0.24998292949072276,-0.6179098150711719,False
Train_OOF,24,4.931814138,5.15604305267334,-0.22422891467333983,-0.5542508341736787,False
Train_OOF,25,6.026872146,6.108619689941406,-0.0817475439414066,-0.20206423639511611,False
Train_OOF,26,4.721246399,4.903369903564453,-0.18212350456445314,-0.45017434292332886,False
Train_OOF,27,4.236572006,4.2633585929870605,-0.026786586987060268,-0.06621130108876705,False
Train_OOF,28,2.3,3.898132085800171,-1.598132085800171,-3.9502757392589785,True
Train_OOF,29,5.045757491,4.891884803771973,0.15387268722802716,0.38034374548404143,False
Train_OOF,30,5.568636236,5.533974647521973,0.03466158847802703,0.08567679309208827,False
Train_OOF,31,3.0,3.0178778171539307,-0.017877817153930664,-0.044190532185404634,False
Train_OOF,32,3.41,3.42726993560791,-0.017269935607910014,-0.0426879656923564,False
Train_OOF,33,5.15490196,4.826423645019531,0.32847831498046887,0.8119353400569065,False
Train_OOF,34,4.27572413,4.384151935577393,-0.10842780557739218,-0.26801272162620127,False
Train_OOF,35,4.537602002,4.513221263885498,0.02438073811450181,0.06026450450165468,False
Train_OOF,36,5.744727495,4.77192497253418,0.9728025224658206,2.404581096726177,False
Train_OOF,37,5.22184875,5.116460800170898,0.10538794982910193,0.26049878174600327,False
Train_OOF,38,6.244125144,5.588521957397461,0.6556031866025389,1.6205252279383333,False
Train_OOF,39,5.605548319,5.274954795837402,0.33059352316259805,0.8171637286485562,False
Train_OOF,40,4.91721463,5.003361225128174,-0.08614659512817369,-0.21293784648857952,False
Train_OOF,41,5.886056648,4.868223667144775,1.017832980855225,2.5158877458347897,False
Train_OOF,42,3.903089987,3.9236087799072266,-0.02051879290722658,-0.05071851728683169,False
Train_OOF,43,6.026872146,5.804409503936768,0.22246264206323207,0.5498849473345238,False
Train_OOF,44,4.167491087,3.677987813949585,0.4895032730504152,1.2099581261149293,False
Train_OOF,45,3.15,3.2618088722229004,-0.11180887222290048,-0.27637006934560576,False
