Dataset,Sample_Index,Observed,Predicted,Residual,Standardized_Residual,Residual_Outlier_absSR_gt_3
Train_OOF,1,4.18,3.9117488861083984,0.2682511138916013,0.5703124653695851,False
Train_OOF,2,5.096910013,4.77864933013916,0.3182606828608394,0.6766347846216935,False
Train_OOF,3,5.372634143,5.481034755706787,-0.10840061270678714,-0.23046398497104975,False
Train_OOF,4,4.995678626,5.551349639892578,-0.555671013892578,-1.1813785272688675,False
Train_OOF,5,4.397940009,5.210073471069336,-0.8121334620693359,-1.7266278236185206,False
Train_OOF,6,3.0,3.6000258922576904,-0.6000258922576904,-1.2756787509085628,False
Train_OOF,7,5.698970004,4.744620323181152,0.9543496808188481,2.028985122918868,False
Train_OOF,8,4.698970004,5.2221455574035645,-0.523175553403564,-1.1122918945389904,False
Train_OOF,9,3.53,3.083997964859009,0.446002035140991,0.9482179459798872,False
Train_OOF,10,3.71,3.412627696990967,0.29737230300903317,0.6322252638631928,False
Train_OOF,11,5.853871964,5.186213970184326,0.6676579938156735,1.419467270620902,False
Train_OOF,12,4.958607315,5.013917446136475,-0.05531013113647454,-0.11759152381788289,False
Train_OOF,13,4.173925197,4.347960948944092,-0.17403575194409182,-0.37000688389981057,False
Train_OOF,14,2.71,3.505589008331299,-0.7955890083312989,-1.6914536613843023,False
Train_OOF,15,5.0,5.004648208618164,-0.0046482086181640625,-0.009882275149278691,False
Train_OOF,16,4.890084137,4.795274257659912,0.09480987934008756,0.20156954893275153,False
Train_OOF,17,6.036212173,5.978962421417236,0.057249751582763686,0.12171523351122428,False
Train_OOF,18,4.48148606,3.841764450073242,0.6397216099267578,1.3600734148487432,False
Train_OOF,19,3.931814138,4.403172492980957,-0.471358354980957,-1.0021264836587813,False
Train_OOF,20,4.91721463,4.898059368133545,0.01915526186645522,0.0407248434549748,False
Train_OOF,21,4.924453039,4.960215091705322,-0.035762052705321956,-0.07603153682817856,False
Train_OOF,22,5.638272164,5.273899555206299,0.36437260879370115,0.7746705608024292,False
Train_OOF,23,3.935542011,3.9975876808166504,-0.062045669816650495,-0.13191154513878456,False
Train_OOF,24,4.931814138,4.219995975494385,0.7118181625056152,1.5133535337991961,False
Train_OOF,25,6.026872146,5.695093154907227,0.3317789910927731,0.7053752419623309,False
Train_OOF,26,4.721246399,4.797367572784424,-0.07612117378442385,-0.16183662262578444,False
Train_OOF,27,4.236572006,4.142160892486572,0.09441111351342801,0.20072175703206535,False
Train_OOF,28,2.3,4.040247917175293,-1.7402479171752931,-3.6998358202515593,True
Train_OOF,29,5.045757491,5.361860752105713,-0.3161032611057131,-0.6720480207415431,False
Train_OOF,30,5.568636236,5.570135116577148,-0.0014988805771487534,-0.003186679320160155,False
Train_OOF,31,3.0,3.165022373199463,-0.1650223731994629,-0.35084408461601574,False
Train_OOF,32,3.41,3.2191154956817627,0.19088450431823745,0.4058279970556859,False
Train_OOF,33,5.15490196,4.708527088165283,0.4463748718347169,0.9490106115196283,False
Train_OOF,34,4.27572413,4.374619007110596,-0.0988948771105953,-0.2102544155703192,False
Train_OOF,35,4.537602002,4.45493745803833,0.08266454396166978,0.1757480861178575,False
Train_OOF,36,5.744727495,4.955290794372559,0.7894367006274416,1.6783736121595414,False
Train_OOF,37,5.22184875,4.910553455352783,0.31129529464721717,0.6618260941124999,False
Train_OOF,38,6.244125144,5.481034755706787,0.7630903882932127,1.62236031132828,False
Train_OOF,39,5.605548319,5.548288822174072,0.057259496825928125,0.12173595228317682,False
Train_OOF,40,4.91721463,5.142120838165283,-0.22490620816528306,-0.4781594834588444,False
Train_OOF,41,5.886056648,4.4639201164245605,1.4221365315754397,3.023518447504697,True
Train_OOF,42,3.903089987,4.1551899909973145,-0.25210000399731447,-0.5359745676861929,False
Train_OOF,43,6.026872146,5.330535411834717,0.6963367341652829,1.4804394055552204,False
Train_OOF,44,4.167491087,3.8317372798919678,0.3357538071080324,0.7138258578355201,False
Train_OOF,45,3.15,3.506157875061035,-0.35615787506103525,-0.7572057123644669,False
Train_OOF,46,3.86,4.021213054656982,-0.16121305465698255,-0.34274532290791737,False
Train_OOF,47,4.443697499,4.6434736251831055,-0.1997761261831057,-0.42473193640311496,False
Train_OOF,48,4.522878745,4.5424723625183105,-0.01959361751831068,-0.04165680488801996,False
Train_OOF,49,4.04,3.8262124061584473,0.21378759384155277,0.45452087016673853,False
Train_OOF,50,4.661543506,4.823690414428711,-0.16214690842871082,-0.34473073291842066,False
Train_OOF,51,4.036212173,4.589356422424316,-0.5531442494243164,-1.176006526189741,False
Train_OOF,52,4.28,4.405365943908691,-0.12536594390869116,-0.26653294932017546,False
Train_OOF,53,2.4,3.503227710723877,-1.103227710723877,-2.345505695910093,False
Train_OOF,54,3.871600731,3.930269241333008,-0.058668510333007795,-0.12473157066217962,False
Train_OOF,55,4.795880017,4.668227672576904,0.1276523444230957,0.27139392713784544,False
Train_OOF,56,4.387216143,3.9859066009521484,0.4013095420478514,0.8531999400909668,False
Train_OOF,57,4.568636236,4.360610485076904,0.2080257509230954,0.4422709645010137,False
Train_OOF,58,2.4,2.615259885787964,-0.21525988578796396,-0.45765102100756916,False
Train_OOF,59,4.387216143,4.664600849151611,-0.2773847061516115,-0.5897308433361046,False
Train_OOF,60,4.031517051,3.9521021842956543,0.0794148667043455,0.16883914389057936,False
Train_OOF,61,4.958607315,4.607187747955322,0.3514195670446778,0.7471318823352605,False
Train_OOF,62,2.8,3.4133007526397705,-0.6133007526397707,-1.3039016285030265,False
Train_OOF,63,4.301029996,4.568111896514893,-0.267081900514893,-0.5678266715410344,False
Train_OOF,64,4.259637311,4.341997146606445,-0.08235983560644566,-0.17510026411717497,False
Train_OOF,65,3.47,4.153594970703125,-0.6835949707031248,-1.4533499130724568,False
Train_OOF,66,4.91721463,5.010776519775391,-0.09356188977539048,-0.19891627381649046,False
Train_OOF,67,5.0,4.907797813415527,0.09220218658447266,0.19602549111764733,False
Train_OOF,68,3.0,3.0951507091522217,-0.09515070915222168,-0.20229416657779964,False
Train_OOF,69,6.37675071,5.987771034240723,0.38897967575927694,0.8269861572712027,False
Train_OOF,70,4.48148606,4.390419006347656,0.09106705365234369,0.19361215366061713,False
Train_OOF,71,5.554395797,5.514880657196045,0.039515139803954824,0.0840107482652391,False
Train_OOF,72,6.32,5.059632301330566,1.2603676986694339,2.6795915180833862,False
Train_OOF,73,5.226945307,5.43090295791626,-0.2039576509162595,-0.43362202317655707,False
Train_OOF,74,3.798602876,4.208486080169678,-0.40988320416967783,-0.871427884463718,False
Train_OOF,75,3.0,3.3774733543395996,-0.3774733543395996,-0.8025232633767796,False
Train_OOF,76,4.031517051,4.106268405914307,-0.07475135491430684,-0.15892433359334487,False
Train_OOF,77,3.840132153,3.515226364135742,0.3249057888642577,0.6907625424992736,False
Train_OOF,78,3.93,4.165421962738037,-0.23542196273803695,-0.5005163931044544,False
Train_OOF,79,5.568636236,5.479146480560303,0.08948975543969695,0.19025875534950665,False
Train_OOF,80,4.301029996,4.408641815185547,-0.1076118191855473,-0.228786978783677,False
Train_OOF,81,4.124938737,3.869016408920288,0.2559223280797118,0.5441009796859375,False
Train_OOF,82,5.698970004,5.617049694061279,0.08192030993872113,0.17416581518417076,False
Train_OOF,83,3.31,3.122699022293091,0.18730097770690923,0.3982092779131068,False
Train_OOF,84,4.522878745,4.551989555358887,-0.02911081035888685,-0.06189073284292901,False
