Dataset,Fused_Distance,Inside_AD
Train,0.4394894945967559,True
Train,0.42311083997129084,True
Train,0.017491643918018832,True
Train,0.03074417215302653,True
Train,0.4375573158753815,True
Train,0.6002823528456411,True
Train,0.42697668781483467,True
Train,0.30986031047029566,True
Train,0.14416656149526916,True
Train,0.564080638685009,True
Train,0.8161684035468881,True
Train,0.09941311072558069,True
Train,0.777540559304849,True
Train,1.0614538943394913,False
Train,0.7752507509646371,True
Train,0.7956072377781378,True
Train,0.11635013803064975,True
Train,0.9852770301344138,False
Train,0.44056290196543446,True
Train,0.1521204392383311,True
Train,0.8485603794909915,True
Train,0.6456839990044081,True
Train,0.8335171770800116,True
Train,0.8078915670104176,True
Train,0.3500071497280734,True
Train,0.391502989105203,True
Train,0.5547579765231379,True
Train,0.1227439218209657,True
Train,0.3470597492167929,True
Train,0.1850987238983094,True
Train,0.10870667441696837,True
Train,0.4703642539150971,True
Train,0.038023146298697574,True
Train,0.5280506276284982,True
Train,0.11337234477468378,True
Train,0.2701175043555156,True
Train,0.38679219225647055,True
Train,0.017491643918018832,True
Train,0.07641715612631332,True
Train,0.13438289823683733,True
Train,1.286253857180696,False
Train,0.5646072445031967,True
Train,0.15634064724065877,True
Train,0.5216160086189597,True
Train,0.5024072967821853,True
Train,0.4150422129896917,True
Train,0.08017269930675268,True
Train,0.3568176477722317,True
Train,0.4529380781416406,True
Train,0.7889962016638044,True
Train,0.15436698303381013,True
Train,0.4479320013596679,True
Train,1.0444897289727813,False
Train,0.44406589139288355,True
Train,0.07582467289674034,True
Train,0.07385822946091204,True
Train,0.2734935642235429,True
Train,0.8086351123654657,True
Train,0.09317749020800771,True
Train,0.04681879378456988,True
Train,0.9675610501831999,False
Train,0.38437153318895134,True
Train,0.5871174747558856,True
Train,0.41442242750594604,True
Train,0.3825869409674676,True
Train,0.13589993486919721,True
Train,0.7196349975739289,True
Train,0.195655856961985,True
Train,0.2287939106214946,True
Train,0.09890973063930615,True
Train,0.6793737624051757,True
Train,0.7278839541077223,True
Train,0.6459465375857187,True
Train,0.6800956526959079,True
Train,0.20734060062811205,True
Train,0.04681879378456988,True
Train,0.8663858636443916,True
Train,0.39536884181284593,True
Train,0.1850987238983094,True
Train,0.5740446879032419,True
Train,0.41840375743711755,True
Train,0.3656041505830758,True
Train,0.1126117043836988,True
Train,0.3568176477722317,True
Train,0.8088684539283697,True
Test,1.2422662866587801,False
Test,0.12043646440711617,True
Test,0.0319650311906449,True
Test,0.9300106250498614,True
Test,0.2931825445846577,True
Test,0.6121385484380995,True
Test,0.5797322080516647,True
Test,0.047281182367395216,True
Test,0.6087234353084874,True
Test,0.5784497147990136,True
Test,0.017235466000869375,True
Test,0.7976097082937379,True
Test,0.19784604081180135,True
Test,0.08975174798918181,True
Test,0.07000421453773151,True
Test,0.44025139597861457,True
Test,0.11132591095350748,True
Test,0.7912732744889005,True
Test,0.8256963534426545,True
Test,0.26660375910706413,True
Test,0.1796429900968321,True
Test,0.9639079670725711,False
